,pdb,chain,CATH Domain,Class Number,Architecture Number,Topology Number,Superfamily Number,S35 Number,S60 Number,S95 Number,S100 Number,S100 Count Number,Domain Length,Resolution
2343,1l4a,A,1l4aA00,1,20,5,110,35,1,1,1,1,66,2.95
9231,5swu,A,5swuA00,3,20,20,70,144,1,1,1,1,251,2.1
1776,4bmo,A,4bmoA00,1,10,620,20,4,2,1,1,1,290,1.81
16639,3t8i,A,3t8iA00,3,90,245,10,4,2,1,1,1,306,1.8
12935,1ag9,A,1ag9A00,3,40,50,360,3,3,1,1,1,175,1.8
14635,4ols,A,4olsA00,3,40,80,10,11,1,1,1,1,185,2.27
17158,4u32,X,4u32X00,4,10,410,10,8,1,1,1,1,54,1.65
3538,2zrr,A,2zrrA00,1,20,1440,140,2,1,1,1,1,83,1.8
11706,2h6l,A,2h6lA00,3,30,1330,80,7,2,1,1,1,137,2.0
1577,6h9d,A,6h9dA00,1,10,530,40,3,3,1,1,1,148,1.9
8653,3f8x,B,3f8xB00,3,10,450,50,36,1,1,1,1,128,1.55
130,3cuo,D,3cuoD00,1,10,10,10,36,2,1,1,1,94,2.0
636,3fgh,A,3fghA00,1,10,30,10,1,1,1,1,1,67,1.35
17301,2rms,B,2rmsB00,6,10,140,710,1,1,1,1,1,61,999.0
16945,1xjh,A,1xjhA00,3,90,1280,10,2,1,1,1,1,62,999.0
5282,5ytx,A,5ytxA00,2,40,50,140,61,1,1,1,1,74,1.55
16520,2gjt,B,2gjtB00,3,90,190,10,6,4,1,1,1,277,2.15
5278,3ull,B,3ullB00,2,40,50,140,55,1,1,1,1,103,2.4
12551,3r20,A,3r20A00,3,40,50,300,18,3,1,1,1,217,2.0
14396,2l17,A,2l17A00,3,40,50,2300,392,1,1,1,1,131,999.0
3229,2lnl,A,2lnlA00,1,20,1070,10,17,2,1,1,1,296,999.0
8279,3ceg,A,3cegA00,3,10,110,10,25,1,1,1,1,285,2.01
9870,2yho,E,2yhoE00,3,30,40,10,27,1,1,1,1,70,2.1
7816,2ny4,A,2ny4A00,2,170,40,20,3,1,1,1,1,306,2.0
120,3f6v,A,3f6vA00,1,10,10,10,19,1,1,1,1,96,1.48
3716,2ifu,D,2ifuD00,1,25,40,10,111,1,1,1,1,260,2.6
1942,1qn2,A,1qn2A00,1,10,760,10,6,4,1,1,1,99,2.01
3265,1wy1,B,1wy1B00,1,20,1200,10,4,1,1,1,1,143,1.8
4929,2aq6,A,2aq6A00,2,30,110,10,16,1,1,1,1,143,1.7
16237,4tzh,A,4tzhA00,3,80,10,10,45,1,1,1,1,190,1.39
16912,2wb6,A,2wb6A00,3,90,1150,90,1,1,1,1,1,114,1.95
8892,2vp8,B,2vp8B00,3,20,20,20,14,1,1,1,1,236,2.64
17247,1n0z,A,1n0zA00,4,10,1060,10,2,1,1,1,1,45,999.0
7473,5krp,A,5krpA00,2,100,10,30,2,2,1,1,1,150,1.58
9489,4hbk,A,4hbkA00,3,20,20,100,1,7,1,1,1,301,2.2
16154,4ob9,A,4ob9A00,3,60,150,10,2,2,1,1,1,313,2.5
7803,1am2,A,1am2A00,2,170,16,10,10,1,1,1,1,181,2.2
11136,2w1r,A,2w1rA00,3,30,450,40,34,1,1,1,1,117,1.5
4587,1vq8,Q,1vq8Q00,2,30,30,70,1,1,1,1,1,95,2.2
4203,1h8g,A,1h8gA00,2,10,270,10,8,1,1,1,1,92,2.4
2804,6cnz,F,6cnzF00,1,20,59,10,10,2,1,1,1,158,2.15
2410,2d3e,A,2d3eA00,1,20,5,170,84,1,1,1,1,130,2.6
9568,4dzi,B,4dziB00,3,20,20,140,46,1,1,1,1,382,1.6
4293,3mcb,A,3mcbA00,2,20,70,30,1,1,1,1,1,54,1.9
10253,4yme,A,4ymeA00,3,30,70,270,18,1,1,1,1,151,1.4
14431,4c6r,A,4c6rA00,3,40,50,10140,7,1,1,1,1,162,2.05
3554,2zuq,A,2zuqA00,1,20,1550,10,1,1,1,1,1,148,3.3
16624,4j2u,B,4j2uB00,3,90,226,10,96,3,1,1,1,331,2.0
3540,5jxd,A,5jxdA00,1,20,1440,160,1,2,1,1,1,186,2.03
439,3a01,E,3a01E00,1,10,10,60,95,1,1,1,1,68,2.7
12021,2j23,A,2j23A00,3,40,30,10,30,1,1,1,1,115,1.41
395,1ig7,A,1ig7A00,1,10,10,60,9,2,1,1,1,58,2.2
5412,2x7k,A,2x7kA00,2,40,100,10,2,1,1,1,1,164,1.15
13528,3hb7,A,3hb7A00,3,40,50,850,17,1,1,1,1,184,2.3
445,4ayb,N,4aybN00,1,10,10,60,108,1,1,1,1,65,3.2
5070,1i71,A,1i71A00,2,40,20,10,1,2,1,1,1,83,1.45
16420,4kg3,B,4kg3B00,3,90,79,10,10,2,1,1,1,145,1.7
5285,4dka,C,4dkaC00,2,40,50,140,65,1,1,1,1,86,1.97
15164,1yk3,B,1yk3B00,3,40,630,30,144,1,1,1,1,193,2.2
10961,3lb5,B,3lb5B00,3,30,428,10,7,1,1,1,1,134,1.9
14054,3d7r,A,3d7rA00,3,40,50,1820,129,1,1,1,1,286,2.01
14405,2kyr,A,2kyrA00,3,40,50,2300,400,1,1,1,1,108,999.0
304,3bro,D,3broD00,1,10,10,10,389,1,1,1,1,128,2.04
13229,2ph3,B,2ph3B00,3,40,50,720,152,9,1,1,1,237,1.91
924,1ow4,A,1ow4A00,1,10,238,20,8,1,1,1,1,120,1.6
5430,1jiw,I,1jiwI00,2,40,128,10,3,1,1,1,1,105,1.74
12565,3x1x,A,3x1xA00,3,40,50,300,26,2,1,1,1,166,1.0
14172,4rhf,A,4rhfA00,3,40,50,1950,2,2,1,1,1,200,1.76
2851,2ykz,A,2ykzA00,1,20,120,10,1,1,1,1,1,126,0.84
11989,4mzc,A,4mzcA00,3,40,30,10,12,1,1,1,1,106,0.95
17062,1hi7,A,1hi7A00,4,10,110,10,4,3,1,1,1,60,999.0
4850,4oeo,A,4oeoA00,2,30,42,10,54,1,1,1,1,94,1.9
14203,4lza,B,4lzaB00,3,40,50,2020,1,6,1,1,1,169,1.84
1273,2hyt,A,2hytA00,1,10,357,10,21,1,1,1,1,188,1.64
9251,1n7k,A,1n7kA00,3,20,20,70,163,1,1,1,1,234,2.0
14417,1eiw,A,1eiwA00,3,40,50,9200,1,1,1,1,1,111,999.0
328,4gcv,C,4gcvC00,1,10,10,10,443,1,1,1,1,136,2.3
17236,1pby,C,1pbyC00,4,10,940,10,1,1,1,1,1,78,1.7
2531,1uix,B,1uixB00,1,20,5,730,1,1,1,1,1,67,1.8
11140,4pau,A,4pauA00,3,30,450,40,41,2,1,1,1,122,2.0
2195,1q08,A,1q08A00,1,10,1660,10,1,1,1,1,1,94,1.9
7442,3s8k,B,3s8kB00,2,80,10,50,75,1,1,1,1,182,1.7
5236,3kf6,B,3kf6B00,2,40,50,140,8,1,1,1,1,105,1.65
8094,1ze3,D,1ze3D00,3,10,20,410,2,1,1,1,1,116,1.84
12217,5hfi,A,5hfiA00,3,40,30,10,289,1,1,1,1,202,1.8
623,1kx5,A,1kx5A00,1,10,20,10,35,1,1,1,1,135,1.94
414,4cyc,B,4cycB00,1,10,10,60,52,1,1,1,1,58,2.36
283,5cyv,A,5cyvA00,1,10,10,10,360,1,1,1,1,138,1.52
6865,2ltn,A,2ltnA00,2,60,120,200,54,1,1,1,1,181,1.7
2625,4cc9,B,4cc9B00,1,20,5,4730,2,1,1,1,1,98,2.47
3108,5hvz,B,5hvzB00,1,20,890,10,4,1,1,1,1,47,2.0
6904,3wuc,B,3wucB00,2,60,120,200,89,1,1,1,1,137,1.6
13527,3ot4,A,3ot4A00,3,40,50,850,16,1,1,1,1,197,2.4
16484,6n1c,A,6n1cA00,3,90,80,10,1,7,1,1,1,175,2.0
4471,5xgg,E,5xggE00,2,30,30,40,25,3,1,1,1,65,1.72
11160,2j3w,C,2j3wC00,3,30,450,70,2,1,1,1,1,135,2.1
5111,5ls7,D,5ls7D00,2,40,40,20,2,1,1,1,1,100,1.16
2667,2w2u,A,2w2uA00,1,20,58,80,9,1,1,1,1,75,2.2
16444,4ktb,A,4ktbA00,3,90,79,10,32,1,1,1,1,155,1.94
6548,4muv,A,4muvA00,2,60,120,10,6,1,1,1,1,142,1.25
11492,2qyf,B,2qyfB00,3,30,900,20,1,1,1,1,1,183,2.3
4785,3ggm,A,3ggmA00,2,30,40,10,45,1,1,1,1,75,2.0
7574,6f0q,A,6f0qA00,2,120,10,30,14,1,1,1,1,251,1.3
6906,2w39,A,2w39A00,2,60,120,200,93,1,1,1,1,298,1.1
1767,4fp4,A,4fp4A00,1,10,600,10,48,1,1,1,1,243,2.0
4533,2js2,A,2js2A00,2,30,30,40,100,1,1,1,1,63,999.0
13179,1sby,A,1sbyA00,3,40,50,720,96,1,1,1,1,254,1.1
3714,2wpv,E,2wpvE00,1,25,40,10,101,1,1,1,1,280,1.99
3369,1jig,A,1jigA00,1,20,1260,10,14,1,1,1,1,146,1.46
12406,4dzr,A,4dzrA00,3,40,50,150,163,2,1,1,1,161,2.55
10655,2jva,A,2jvaA00,3,30,160,20,39,1,1,1,1,108,999.0
2065,3lmo,A,3lmoA00,1,10,1200,10,14,1,1,1,1,94,2.0
9937,2ysj,A,2ysjA00,3,30,40,10,108,1,1,1,1,63,999.0
12,2oo9,A,2oo9A00,1,10,8,10,13,2,1,1,1,44,2.1
16057,3qn1,B,3qn1B00,3,60,40,10,6,2,1,1,1,295,1.8
12808,5lc9,A,5lc9A00,3,40,50,300,273,1,1,1,1,256,1.9
3493,2af7,D,2af7D00,1,20,1290,10,12,1,1,1,1,117,2.81
16352,3f5v,A,3f5vA00,3,90,70,10,5,1,1,1,1,221,1.36
9455,5jbo,A,5jboA00,3,20,20,80,159,8,1,1,1,475,1.97
3326,4q65,A,4q65A00,1,20,1250,20,16,1,1,1,1,437,3.4
657,1v64,A,1v64A00,1,10,30,10,16,2,1,1,1,108,999.0
12764,1e6c,A,1e6cA00,3,40,50,300,212,1,1,1,1,170,1.8
3683,2ho1,B,2ho1B00,1,25,40,10,44,1,1,1,1,218,2.0
1791,3pf7,B,3pf7B00,1,10,620,20,14,1,1,1,1,470,1.9
16157,5z9a,B,5z9aB00,3,60,150,10,3,2,1,1,1,250,2.79
9461,1ta3,A,1ta3A00,3,20,20,80,166,1,1,1,1,274,1.7
4368,2w2x,C,2w2xC00,2,30,29,30,78,1,1,1,1,109,2.3
14154,5hk8,A,5hk8A00,3,40,50,1820,242,1,1,1,1,236,2.8
835,2wcb,A,2wcbA00,1,10,238,10,16,1,1,1,1,92,1.73
12573,1z0j,A,1z0jA00,3,40,50,300,27,2,1,1,1,169,1.32
16716,1o7q,A,1o7qA00,3,90,550,10,1,2,1,1,1,287,1.3
10029,1z7k,B,1z7kB00,3,30,60,30,8,1,1,1,1,62,1.9
9612,4xsl,C,4xslC00,3,20,20,150,12,1,1,1,1,297,1.6
9773,2k6a,A,2k6aA00,3,20,120,10,2,1,1,1,1,68,999.0
13813,4r2x,D,4r2xD00,3,40,50,1580,1,1,1,1,1,249,0.93
13605,1ejb,A,1ejbA00,3,40,50,960,3,2,1,1,1,168,1.85
13127,5gha,C,5ghaC00,3,40,50,620,119,2,1,1,1,302,2.5
15,3e21,A,3e21A00,1,10,8,10,18,1,1,1,1,40,1.73
6990,4a3z,A,4a3zA00,2,60,120,260,79,1,1,1,1,133,1.55
8295,1j03,A,1j03A00,3,10,120,10,8,2,1,1,1,102,999.0
2791,1v9d,B,1v9dB00,1,20,58,2220,1,1,1,1,1,321,2.6
5882,2haz,A,2hazA00,2,60,40,10,106,1,1,1,1,104,1.7
16263,3vq2,A,3vq2A00,3,80,10,10,68,2,1,1,1,581,2.48
6540,4bct,A,4bctA00,2,60,110,10,1,2,1,1,1,201,0.98
6015,1uad,C,1uadC00,2,60,40,10,493,1,1,1,1,92,2.1
10477,4ni2,A,4ni2A00,3,30,70,1230,3,2,1,1,1,192,1.9
7664,3ow8,C,3ow8C00,2,130,10,10,82,1,1,1,1,300,2.3
12126,2yzh,A,2yzhA00,3,40,30,10,165,5,1,1,1,170,1.85
3409,5gou,G,5gouG00,1,20,1260,10,57,1,1,1,1,134,2.91
3776,3d9h,A,3d9hA00,1,25,40,20,24,2,1,1,1,235,2.2
716,5zrz,A,5zrzA00,1,10,150,50,9,1,1,1,1,69,1.89
3671,2xcb,A,2xcbA00,1,25,40,10,31,1,1,1,1,133,1.85
17329,4a18,T,4a18T00,6,10,140,1730,1,1,1,1,1,65,1000.0
7834,3e0o,C,3e0oC00,2,170,150,20,4,3,1,1,1,139,2.6
11518,1usy,A,1usyA00,3,30,930,10,28,1,1,1,1,275,2.52
11611,3c8l,B,3c8lB00,3,30,1330,20,1,1,1,1,1,113,1.22
16567,2g6z,A,2g6zA00,3,90,190,10,50,1,1,1,1,147,2.7
11552,3pim,B,3pimB00,3,30,1060,10,4,1,1,1,1,177,1.9
13159,4oki,A,4okiA00,3,40,50,720,64,1,1,1,1,181,1.5
2120,3qoq,D,3qoqD00,1,10,1220,10,13,1,1,1,1,46,3.1
6405,5iql,A,5iqlA00,2,60,40,1970,4,1,1,1,1,130,2.1
12599,2q3h,A,2q3hA00,3,40,50,300,42,4,1,1,1,171,1.73
3677,1elw,A,1elwA00,1,25,40,10,36,1,1,1,1,117,1.6
12768,3fe2,A,3fe2A00,3,40,50,300,215,3,1,1,1,234,2.6
2399,1g2c,B,1g2cB00,1,20,5,170,59,1,1,1,1,40,2.3
9834,1k8b,A,1k8bA00,3,30,30,50,1,1,1,1,1,52,999.0
5219,1bcp,F,1bcpF00,2,40,50,110,16,1,1,1,1,98,2.7
13030,2iz6,A,2iz6A00,3,40,50,450,6,1,1,1,1,159,1.6
5273,1z9f,A,1z9fA00,2,40,50,140,49,2,1,1,1,89,2.3
16366,2c0y,A,2c0yA00,3,90,70,10,14,6,1,1,1,308,2.1
14910,5th6,B,5th6B00,3,40,390,10,15,1,1,1,1,211,1.7
3743,5g05,K,5g05K00,1,25,40,10,148,1,1,1,1,493,3.5
13275,4gkb,A,4gkbA00,3,40,50,720,199,1,1,1,1,247,1.5
6663,5w3m,C,5w3mC00,2,60,120,20,2,5,1,1,1,255,2.26
10457,2d3o,1,2d3o100,3,30,70,1050,3,1,1,1,1,100,3.35
5065,4zcn,A,4zcnA00,2,40,10,500,1,1,1,1,1,86,1.3
7029,5sv5,A,5sv5A00,2,60,120,380,1,2,1,1,1,103,1.0
3204,5a1n,A,5a1nA00,1,20,1050,130,3,1,1,1,1,168,2.1
15571,3kzh,B,3kzhB00,3,40,1190,20,51,1,1,1,1,301,2.45
1181,2vs0,A,2vs0A00,1,10,287,1060,1,1,1,1,1,81,1.4
10293,2v94,B,2v94B00,3,30,70,330,33,1,1,1,1,91,1.9
8693,4l8p,A,4l8pA00,3,10,450,50,69,1,1,1,1,162,1.6
111,1s29,A,1s29A00,1,10,10,10,9,1,1,1,1,89,1.6
13845,3la8,A,3la8A00,3,40,50,1580,9,4,1,1,1,247,1.8
15594,2d1p,A,2d1pA00,3,40,1260,10,2,2,1,1,1,130,2.15
12283,3zbg,A,3zbgA00,3,40,47,10,74,1,1,1,1,430,1.85
893,2ct9,A,2ct9A00,1,10,238,10,131,1,1,1,1,185,2.2
12059,1wou,A,1wouA00,3,40,30,10,62,1,1,1,1,119,1.8
11848,1s28,A,1s28A00,3,30,1460,10,15,1,1,1,1,127,3.0
7342,3imh,A,3imhA00,2,70,98,10,20,1,1,1,1,332,1.76
16134,1oih,B,1oihB00,3,60,130,10,5,3,1,1,1,255,1.89
14621,1sxr,A,1sxrA00,3,40,80,10,2,2,1,1,1,173,1.56
869,5b8i,B,5b8iB00,1,10,238,10,101,2,1,1,1,171,1.85
1960,3dmi,A,3dmiA00,1,10,760,10,14,4,1,1,1,87,1.5
12231,1wpi,A,1wpiA00,3,40,30,10,310,1,1,1,1,133,999.0
31,1wgl,A,1wglA00,1,10,8,10,62,1,1,1,1,59,999.0
8078,2sak,A,2sakA00,3,10,20,130,1,1,1,1,1,121,1.8
7813,1k3v,A,1k3vA00,2,170,30,10,2,3,1,1,1,542,3.5
3060,5ncn,A,5ncnA00,1,20,140,30,1,2,1,1,1,173,3.5
17124,2eq9,C,2eq9C00,4,10,320,10,3,1,1,1,1,40,2.09
16018,4i5l,C,4i5lC00,3,60,21,10,3,2,1,1,1,295,2.43
7726,1l0s,A,1l0sA00,2,160,10,20,3,1,1,1,1,87,2.3
10985,2os5,A,2os5A00,3,30,429,10,7,1,1,1,1,118,1.6
3249,1ldf,A,1ldfA00,1,20,1080,10,10,1,1,1,1,254,2.1
3473,4rl5,A,4rl5A00,1,20,1280,170,2,1,1,1,1,435,3.1
1117,1fxk,C,1fxkC00,1,10,287,370,3,1,1,1,1,133,2.3
11498,6fco,D,6fcoD00,3,30,920,10,1,2,1,1,1,112,2.03
2324,1urq,A,1urqA00,1,20,5,110,14,1,1,1,1,58,2.0
11827,5x8t,F,5x8tF00,3,30,1440,10,1,3,1,1,1,175,3.3
2312,2nps,A,2npsA00,1,20,5,110,3,2,1,1,1,63,2.5
6391,3sz6,A,3sz6A00,2,60,40,1850,4,3,1,1,1,116,1.8
8609,2c4b,A,2c4bA00,3,10,450,30,5,1,1,1,1,142,1.3
14413,3lwz,B,3lwzB00,3,40,50,9100,2,1,1,1,1,145,1.65
4419,5d7u,A,5d7uA00,2,30,30,10,1,1,1,1,1,53,1.5
1095,2ebo,A,2eboA00,1,10,287,210,8,1,1,1,1,74,1.9
4266,6hma,1,6hma100,2,20,28,120,1,1,1,1,1,47,2.65
10503,4jb8,B,4jb8B00,3,30,70,1470,2,2,1,1,1,92,1.7
8009,5fr6,A,5fr6A00,3,10,20,90,73,1,1,1,1,83,2.51
8384,3esi,A,3esiA00,3,10,129,10,82,2,1,1,1,124,2.5
15523,5ysq,B,5ysqB00,3,40,1190,20,7,1,1,1,1,280,1.47
7872,3db5,A,3db5A00,2,170,270,10,22,1,1,1,1,122,2.15
10920,2wfb,A,2wfbA00,3,30,420,130,5,1,1,1,1,120,2.0
6300,4jut,E,4jutE00,2,60,40,790,14,1,1,1,1,88,2.2
4260,4ayb,P,4aybP00,2,20,28,30,3,1,1,1,1,44,3.2
11067,4ywz,B,4ywzB00,3,30,450,20,54,1,1,1,1,145,1.7
5362,2wkd,A,2wkdA00,2,40,50,400,1,1,1,1,1,77,2.1
15339,1vi1,A,1vi1A00,3,40,718,10,12,2,1,1,1,315,2.95
8862,1usu,B,1usuB00,3,15,10,20,2,1,1,1,1,132,2.15
6993,4uap,A,4uapA00,2,60,120,260,88,1,1,1,1,150,2.0
2777,2iw5,B,2iw5B00,1,20,58,1880,1,1,1,1,1,133,2.57
1138,1skv,A,1skvA00,1,10,287,660,4,1,1,1,1,62,2.6
3974,2ri9,A,2ri9A00,1,50,10,10,35,1,1,1,1,475,1.95
3495,4g9q,A,4g9qA00,1,20,1290,10,14,1,1,1,1,236,1.77
5234,4mno,A,4mnoA00,2,40,50,140,7,1,1,1,1,95,1.35
3791,3eu9,C,3eu9C00,1,25,40,20,39,1,1,1,1,226,1.99
5686,3u0a,A,3u0aA00,2,40,160,210,2,2,1,1,1,256,2.5
8264,4jqu,A,4jquA00,3,10,110,10,14,1,1,1,1,163,1.81
3742,2xpi,D,2xpiD00,1,25,40,10,147,1,1,1,1,518,2.6
1125,2hep,A,2hepA00,1,10,287,540,11,1,1,1,1,42,999.0
2954,5cof,A,5cofA00,1,20,120,450,2,1,1,1,1,167,1.35
11905,1zwt,A,1zwtA00,3,30,1690,10,4,1,1,1,1,158,999.0
5732,1t2w,A,1t2wA00,2,40,260,10,9,1,1,1,1,145,1.8
9897,5yc3,A,5yc3A00,3,30,40,10,65,1,1,1,1,60,2.6
15714,1xty,A,1xtyA00,3,40,1490,10,1,3,1,1,1,120,1.8
5957,1pko,A,1pkoA00,2,60,40,10,244,1,1,1,1,123,1.45
5105,3sum,B,3sumB00,2,40,40,10,5,1,1,1,1,136,1.87
3774,4zhb,A,4zhbA00,1,25,40,20,23,1,1,1,1,102,1.3
11599,3lf4,A,3lf4A00,3,30,1300,40,1,3,1,1,1,62,1.81
14280,6ekg,Y,6ekgY00,3,40,50,2300,65,1,1,1,1,121,1.15
67,3c9p,A,3c9pA00,1,10,8,290,1,1,1,1,1,119,1.96
13726,5cdh,G,5cdhG00,3,40,50,1240,21,2,1,1,1,322,2.0
800,2iqj,B,2iqjB00,1,10,220,150,3,1,1,1,1,123,1.9
14129,3b5e,B,3b5eB00,3,40,50,1820,210,1,1,1,1,211,1.75
3734,3ulq,A,3ulqA00,1,25,40,10,135,2,1,1,1,376,2.3
15795,4c5o,A,4c5oA00,3,50,50,60,157,2,1,1,1,327,2.6
17040,4r5r,A,4r5rA00,4,10,70,10,1,1,1,1,1,68,0.96
9724,3iwp,H,3iwpH00,3,20,20,380,1,2,1,1,1,236,2.5
1674,1pdu,A,1pduA00,1,10,565,10,16,2,1,1,1,230,2.3
5224,3cki,B,3ckiB00,2,40,50,120,2,2,1,1,1,121,2.3
8722,1uli,B,1uliB00,3,10,450,50,97,2,1,1,1,177,2.2
4305,5ncg,A,5ncgA00,2,30,29,30,2,1,1,1,1,113,1.02
15808,3nks,A,3nksA00,3,50,50,60,196,1,1,1,1,465,1.9
8834,3i8n,B,3i8nB00,3,10,580,10,34,1,1,1,1,120,2.15
15509,4q9m,B,4q9mB00,3,40,1180,10,1,4,1,1,1,228,2.06
17140,2kn0,A,2kn0A00,4,10,400,20,2,1,1,1,1,50,999.0
7418,5yh4,A,5yh4A00,2,80,10,50,44,1,1,1,1,179,1.3
5298,3cp0,A,3cp0A00,2,40,50,140,103,1,1,1,1,62,1.65
15213,2z67,A,2z67A00,3,40,640,10,150,1,1,1,1,424,2.5
12903,1a7j,A,1a7jA00,3,40,50,300,484,1,1,1,1,279,2.5
2561,2zjs,E,2zjsE00,1,20,5,1030,1,1,1,1,1,46,3.2
8573,5t1d,B,5t1dB00,3,10,390,20,1,1,1,1,1,99,3.1
13544,1wl8,A,1wl8A00,3,40,50,880,10,1,1,1,1,186,1.45
16380,5ef4,B,5ef4B00,3,90,70,10,23,3,1,1,1,322,2.05
3894,4hs2,A,4hs2A00,1,25,40,420,1,1,1,1,1,64,1.53
12678,4qm6,A,4qm6A00,3,40,50,300,109,1,1,1,1,171,1.5
9518,1lqa,A,1lqaA00,3,20,20,100,15,1,1,1,1,346,1.6
17288,1q0v,A,1q0vA00,6,10,140,100,1,1,1,1,1,81,999.0
1597,2yvi,A,2yviA00,1,10,533,10,13,2,1,1,1,89,1.92
10443,2epi,B,2epiB00,3,30,70,930,3,1,1,1,1,96,1.7
4692,3vyt,A,3vytA00,2,30,30,140,51,1,1,1,1,52,2.25
6122,2bwq,A,2bwqA00,2,60,40,150,9,1,1,1,1,122,1.41
12522,3hjn,A,3hjnA00,3,40,50,300,4,7,1,1,1,189,2.1
3414,3frr,A,3frrA00,1,20,1260,60,2,1,1,1,1,186,1.8
3939,1kwf,A,1kwfA00,1,50,10,10,4,1,1,1,1,363,0.94
8366,5buy,B,5buyB00,3,10,129,10,61,2,1,1,1,143,2.55
4372,3d8d,A,3d8dA00,2,30,29,30,88,1,1,1,1,139,2.2
9151,3l21,B,3l21B00,3,20,20,70,92,3,1,1,1,293,2.1
7843,2y3v,D,2y3vD00,2,170,210,20,1,1,1,1,1,154,1.92
14914,2ddf,A,2ddfA00,3,40,390,10,23,1,1,1,1,253,1.7
5045,1vx7,9,1vx7900,2,40,10,190,1,2,1,1,1,103,1000.0
6138,3l9b,A,3l9bA00,2,60,40,150,25,1,1,1,1,126,1.95
5706,1jb7,B,1jb7B00,2,40,200,10,1,1,1,1,1,216,1.86
3548,2iaz,A,2iazA00,1,20,1500,10,1,1,1,1,1,105,2.4
11523,3ig2,B,3ig2B00,3,30,930,10,48,1,1,1,1,192,2.09
9317,5ofk,A,5ofkA00,3,20,20,80,13,1,1,1,1,339,1.16
11922,4nrn,A,4nrnA00,3,30,2310,20,1,2,1,1,1,90,1.8
6460,4f5c,F,4f5cF00,2,60,40,3130,1,1,1,1,1,139,3.2
7896,3b2f,A,3b2fA00,3,10,20,30,1,4,1,1,1,96,1.7
11148,2k31,A,2k31A00,3,30,450,40,55,1,1,1,1,149,999.0
16979,3sj5,A,3sj5A00,3,90,1520,10,1,1,1,1,1,185,1.67
15281,3p09,A,3p09A00,3,40,710,10,34,1,1,1,1,262,1.9
